Date,ppt_min,ppt_max,ppt_mean,ppt_median,tmean_mean,tmean_median,tmin_min,tmax_max,tdmean_mean,tdmean_median,vpdmin_min,vpdmax_max,Fpar_max,Fpar_mean,Fpar_median,Cloud_state_max,Cloud_state_mean,Cloud_state_median,area,distNum,CD,Lai_median_smoothed,VoLTEDropRateMarket_low_smoothed,VoLTEDropRateMarket_mean_smoothed
10/16/2017,0.460999995,0.522000015,0.497571436,0.504000008,19.30385835,19.33600044,15.97000027,22.52199936,16.75807135,16.73800087,0.606999993,7.214000225,26,26,26,0.5,0.5,0.5,NY,9,NY_9,2.706281319,0.240342253,0.290237519
10/17/2017,0,0,0,0,11.03250047,11.0710001,6.652999878,15.44499969,3.07364285,3.096999884,2.457999945,8.239999771,23,23,23,0.375,0.375,0.375,NY,9,NY_9,2.655160567,0.238459203,0.287763546
10/18/2017,0,0,0,0,12.00285775,12.04900074,8.145999908,16.0189991,2.721642869,2.688999891,3.055000067,12.05700016,20,20,20,0.25,0.25,0.25,NY,9,NY_9,2.605037798,0.236609313,0.285335141
10/19/2017,0,0,0,0,16.80121572,16.8200016,10.88799953,22.75200081,8.410000052,8.436999798,1.86500001,16.36499977,17,17,17,0.125,0.125,0.125,NY,9,NY_9,2.555903517,0.234792319,0.28295193
10/20/2017,0,0,0,0,17.52000059,17.59200096,12.85299969,22.06599998,8.695428371,8.623999596,3.059999943,16.50499916,14,14,14,0,0,0,NY,9,NY_9,2.507748231,0.233007961,0.280613536
10/21/2017,0,0,0,0,18.34535762,18.35900116,12.32800007,24.05999947,3.641571437,3.65199995,4.130000114,23.89699936,12.5,12.5,12.5,0,0,0,NY,9,NY_9,2.460562446,0.231255976,0.278319587
10/22/2017,0,0,0,0,19.07714394,19.1570015,12.16300011,25.78199959,7.845714228,7.862999916,1.988999963,23.87599945,11,11,11,0,0,0,NY,9,NY_9,2.414336669,0.229536103,0.276069706
10/23/2017,0,0,0,0,19.15378693,19.26400185,14.02299976,24.35899925,11.77057144,11.80000019,0.532999992,18.65800095,9.5,9.5,9.5,0,0,0,NY,9,NY_9,2.369061405,0.227848079,0.27386352
10/24/2017,0,0.064999998,0.009285714,0,20.44278608,20.48900032,17.8029995,22.86899948,17.74600002,17.73600006,1.039999962,7.994999886,8,8,8,0,0,0,NY,9,NY_9,2.324727162,0.226191643,0.271700652
10/25/2017,3.029000044,3.845999956,3.300857118,3.154999971,19.17207268,19.13600159,15.21399975,23.07900047,17.80307157,17.85300064,0.240999997,5.855999947,8,8,8,0,0,0,NY,9,NY_9,2.281324446,0.224566533,0.26958073
10/26/2017,0,0,0,0,15.56100096,15.54200077,12.45100021,18.59199905,7.564357144,7.542000055,3.302999973,10.85400009,8,8,8,0,0,0,NY,9,NY_9,2.238843763,0.222972488,0.267503377
10/27/2017,0.769999981,1.067999959,0.905214267,0.921999991,11.20271472,11.17450047,7.872000217,14.47500038,4.386785746,4.367000103,2.529999971,7.251999855,8,8,8,0,0,0,NY,9,NY_9,2.19727562,0.221409244,0.265468219
10/28/2017,0,0,0,0,13.218572,13.21600056,9.067000389,17.36499977,5.724928515,5.744499922,1.585000038,11.84399986,8,8,8,0,0,0,NY,9,NY_9,2.156610523,0.219876541,0.263474882
